Complexity,Loss,Equation
1,0.007510922,"3.0494883"
4,0.0020168838,"log(x794 + 21.110373)"
5,0.00084419176,"(x788 * 0.08155927) + 3.0494869"
6,0.00083208235,"sqrt(9.306661 + (0.49733388 * x793))"
8,0.00079561025,"log((x807 + x779) + 24.26691) - 0.1363007"
9,0.00014774568,"(x799 * 0.08405022) + ((x1006 * 0.026984813) + 3.0494869)"
10,0.0001410131,"sqrt((x1006 * 0.16520973) + (9.306784 + (x799 * 0.5136354)))"
14,0.00012480639,"sqrt((0.42788815 * x779) + ((9.306804 + (x232 * 0.12028513)) + (x2003 * 0.16225402)))"
