Complexity,Loss,Equation
1,0.00028973556,"0.97017956"
5,0.00016759835,"(x1 * -0.010892983) - -0.9702554"
7,1.3889575e-5,"((x2056 - x768) * -0.036934167) + 0.97026765"
8,1.3694513e-5,"sqrt(((x2056 - x768) * -0.0716799) + 0.9417053)"
9,6.6566663e-6,"(((x2047 * 1.0908805) - x760) * -0.031658944) + 0.9703787"
11,3.456165e-6,"(((x2056 - (x1571 * -0.09637482)) - x760) * -0.037711114) + 0.97053796"
13,3.3475983e-6,"(((x2056 - (x1571 * -0.09637482)) + (0.008749703 - x760)) * -0.037711114) + 0.97053796"
15,2.9424875e-6,"((((x1574 + (x1574 - x1982)) * 0.039016467) + (x2056 - x760)) * -0.03795815) + 0.9702105"
