parameter,method,R2,MAE
n_s,Random Forest,0.9683235207702751,0.002509955114312113
log_As,Random Forest,0.995749819260881,0.00435141285610729
omega_b,Random Forest,0.9980737180023471,3.701800599028201e-05
omega_cdm,Random Forest,0.9991088680752166,0.00019637673761941664
tau,Random Forest,0.9965489415686994,0.0006692673767138546
