parameter,status,r2_test,mae_test
log_As,loaded_existing_model,0.9994518440348599,0.0015086039242035176
n_s,loaded_existing_model,0.9970961750303785,0.0007148970818615827
omega_b,loaded_existing_model,0.6106514051624063,0.0006033173498980061
omega_cdm,loaded_existing_model,0.9945469450370416,0.0005017001784877301
tau,loaded_existing_model,0.9955249476310409,0.0007600573239879213
