parameter,seed,r2_test,mae_test
omega_b_engineered,0,0.8004733454522069,0.0004390062558058188
omega_b_engineered,1,0.8015703195084152,0.0004374628861248229
omega_b_engineered,2,0.7917270249923557,0.000446661275565923
