Complexity,Loss,Equation
1,7.516561e-5,"0.124809995"
5,2.2790755e-6,"(x1844 * 0.00829112) + 0.12480979"
7,1.9768613e-6,"((x1795 + x1882) * 0.0052051987) + 0.12480978"
9,1.5464705e-6,"((x843 * 0.006810313) + 0.124809794) + (x1795 * 0.012731778)"
11,1.4227678e-6,"((x1795 * 0.011860113) + ((x1335 + x776) * 0.0033456627)) + 0.12480978"
13,1.1268128e-6,"((x1795 + (x843 * ((x1963 * 0.044761237) + 0.53367954))) * 0.0129360575) + 0.12453168"
15,9.946707e-7,"(((x1795 + (x843 * 0.53982663)) * ((x2339 * -0.026300926) + 0.42000982)) + 3.9650683) * 0.03139704"
17,9.2740976e-7,"(((((x843 + (x1825 * (x2517 * -0.09798358))) * 0.5331404) + x1795) * 0.4141838) + 3.963779) * 0.031349476"
