feature_variant,R2,MAE
peak_heights,0.7933823560800771,0.00044764554734853644
peak_ratios,0.8015703108610504,0.00043746367859555835
peak_ratios_asymmetry,0.8004726333245841,0.00043899890930445
peak_plus_curvature,0.8004742076050402,0.00043900567346699367
