Complexity,Loss,Equation
1,0.0076371594,"3.0461354"
4,0.0020070826,"log(x793 + 21.043941)"
5,0.00078674813,"(x790 * 0.082172036) + 3.0478222"
6,0.0007787517,"log(x793 + 14.044817) * 1.1546332"
8,0.0004412246,"log(x2008 + (21.211256 + (x2822 + x1897)))"
9,4.901608e-5,"((x2000 * 0.027522616) + 3.0493822) + (x786 * 0.08314524)"
13,3.700831e-5,"((x2000 * 0.028952852) + ((x790 + (x64 * -0.118065044)) * 0.09311036)) + 3.0494068"
15,3.7005208e-5,"((x790 * 0.093102224) + ((x64 * -0.011033904) - 0.2842102)) + ((x2000 * 0.028985502) + 3.3336186)"
17,3.5166966e-5,"(x2000 * 0.028828632) + (3.0954595 + (((x790 + ((x64 + x1913) * -0.05790126)) + -0.4970894) * 0.09273543))"
