Complexity,Loss,Equation
1,7.540642e-5,"0.12499303"
5,2.3242333e-6,"(x1843 * 0.008484821) + 0.12484785"
7,2.3242308e-6,"((x1843 * 0.008484824) + -1.1890494) - -1.3138971"
8,2.0817993e-6,"log((x1845 * -0.021276748) + 0.18409063) * -0.07347626"
9,1.1748922e-6,"(x1845 * 0.0092097195) + (0.124825604 - (x1410 * -0.0013149052))"
11,9.947812e-7,"(x1845 * 0.007900395) + (0.12481282 - ((x1197 + x1595) * 0.0014641648))"
13,7.034546e-7,"(0.12416349 - ((x2290 + (x2734 * x1845)) * 0.001065999)) + (0.0085606985 * x1845)"
15,7.6161704e-8,"(0.0085606985 * x1845) + (0.12416349 - (0.001065999 * (((x2734 * x1845) + x2405) + x1199)))"
17,5.9378593e-8,"((x1845 * 0.008383201) + 0.11812618) * (1.0515305 - ((x2356 + ((x1845 * x907) + x1197)) * 0.008637258))"
