Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.0002732153,"(x1030 * -0.0048142574) + 0.9701983"
7,0.00024185434,"((x1536 - x1050) * 0.013982552) + 0.97019833"
9,0.00023594842,"((x731 - (x2116 + x2057)) * 0.0053867158) + 0.9701985"
10,0.00022522695,"sqrt((0.01305137 * (x2912 - (x1050 + x2145))) + 0.9405806)"
11,0.00020674831,"((x2912 - (x1050 + (x233 * 0.6532975))) * 0.013993277) + 0.9700546"
13,0.00019208647,"((x2912 - ((x1050 + (x1633 + x1050)) + x2107)) * 0.0076580504) + 0.97019964"
14,0.00018685013,"(0.01305137 * (x2912 - (x1050 + ((x1587 + x2107) * 0.43320352)))) + sqrt(0.9405806)"
15,0.00018661807,"((x2912 - ((x1050 + (x1050 + (x1587 + x2107))) * 0.4590093)) * 0.01619794) + 0.97019476"
