Complexity,Loss,Equation
1,7.5165604e-5,"0.124810085"
5,2.1907329e-6,"0.124810174 - (x1840 * -0.008542478)"
7,1.9918432e-6,"((x1865 + x1800) * 0.004622305) + 0.124809794"
9,1.416289e-6,"(((3.0641599 * x1865) + x1758) * 0.002544335) + 0.12480978"
13,3.9685568e-7,"((x1865 + (x1800 - 1.7652771)) * ((9.63722 - x1336) * 0.0005263505)) + 0.13313346"
15,3.9217298e-7,"((((x1865 + (x1800 - 1.019616)) + -0.9945456) * 0.0005309318) * (9.63722 - x1336)) + 0.13447952"
