Complexity,Loss,Equation
1,0.00030055924,"0.9698904"
5,0.00018173105,"(x4 * -0.010900784) + 0.96989006"
7,1.7471719e-5,"((x770 - x2039) * 0.033060163) + 0.96989036"
8,1.7023931e-5,"sqrt(((x771 - x2041) * 0.06497963) + 0.9409771)"
9,4.1302437e-6,"((x764 - (x2039 / 0.8904204)) * 0.03112087) + 0.96989036"
11,3.342631e-6,"((x2940 * -0.004107949) + 0.9698904) + ((x760 - x2039) * 0.035218526)"
13,3.1180964e-6,"((x760 - x2039) * 0.034245458) + (((x2352 + x1874) * -0.0026917597) + 0.96989036)"
15,3.1180953e-6,"((((x2352 + 0.48266953) + x1874) * -0.0026917404) + 0.9711905) + ((x760 - x2039) * 0.034244753)"
17,2.431965e-6,"sqrt(sqrt((((x763 * (((x2037 - x763) * 0.084092125) - -0.88705003)) - x2037) * 0.12752168) - -0.88705003))"
