Complexity,Loss,Equation
1,0.007510922,"3.0494974"
4,0.0019832433,"log(x791 + 21.09378)"
5,0.00078322826,"3.049487 - (x793 * -0.08202473)"
6,0.00076482625,"log((x1934 + x263) - -21.176235)"
8,0.00039078586,"log((x1002 - -21.227356) + (x769 + x814))"
10,6.461592e-5,"log(((x1002 * 0.6142435) + (x769 - -21.207916)) + x814)"
12,2.4802897e-5,"log(x752 + (((x870 + x1002) * 0.43249747) - -15.569085)) - -0.30795217"
16,1.999608e-5,"log(((x945 + ((x1002 + x1002) + x1180)) * 0.212018) + (x763 + 15.543544)) - -0.30957854"
