Complexity,Loss,Equation
1,7.516561e-5,"0.12481052"
5,2.1907326e-6,"(x1840 * 0.008542533) - -0.124809824"
7,1.7221142e-6,"((x1468 - x1710) * 0.0085356) - -0.12480979"
11,7.279994e-7,"((x1840 - ((x1332 - x1590) / -2.4766033)) * 0.008192688) - -0.124812506"
13,6.983979e-7,"((x1840 - ((x1332 - (x1590 * 1.0641408)) / -2.6270895)) * 0.0080381725) - -0.12481012"
16,2.1088998e-7,"(((x1850 + (x748 + 3.0072153)) - x2711) * (0.002343776 * sqrt(3.8289778 - x2721))) - -0.11062281"
18,1.8619544e-7,"((sqrt(3.8801575 - x2721) * (0.018450815 * (((x748 + 2.8721836) - x2711) + x1850))) - -0.8730685) * 0.12727733"
