Complexity,Loss,Equation
1,7.516561e-5,"0.124809764"
5,2.2336008e-6,"(x1839 * 0.008540028) + 0.124809794"
7,1.7668654e-6,"0.1919934 / ((x1841 * -0.106771104) + 1.5456064)"
9,1.0489038e-6,"((x1837 * 0.009060148) + 0.12480979) + (x1205 * -0.0012651025)"
11,6.132445e-7,"0.15068345 / (((x1205 * 0.011580584) + (x1838 * -0.08858002)) + 1.213125)"
12,6.1125627e-7,"0.15069176 / ((x1838 * -0.08861034) + sqrt((x1205 * 0.02813334) + 1.4720012))"
13,5.464633e-7,"((((x1837 * 0.0007425138) + 0.0091910055) * x1837) + 0.124067165) + (x1205 * -0.0012449014)"
15,9.709483e-8,"((((-0.13807192 * x1205) + (x1836 * (0.106081136 * x1775))) + x1837) * 0.009253091) + 0.12409409"
17,5.739168e-8,"(((x1205 * -0.0012613009) + (x1837 * 0.009458984)) + 0.124096625) + (((x1837 * 0.0009782036) - 0.00029229434) * x1775)"
