Complexity,Loss,Equation
1,7.4557815e-5,"0.12491493"
5,2.1112837e-6,"(x1840 * 0.008590054) + 0.12476447"
7,2.1112835e-6,"((x1840 * -0.43107533) + -6.261076) * -0.019927002"
8,1.7086268e-6,"log((x1840 * -0.01695171) + 0.112423874) * -0.05679574"
9,8.5751145e-7,"((x1966 * 0.008565361) + (x1630 * -0.016657606)) + 0.12481865"
13,1.7809003e-7,"(((x1489 * -0.001051822) + 0.0029577478) * x1966) + ((x1839 * 0.011484542) + 0.12409746)"
15,1.4310274e-7,"(((x1839 * 0.011484542) + 0.12409746) + ((x967 * x1839) * -0.001051822)) + (x1966 * 0.0029577478)"
17,7.208025e-8,"(x1966 * 0.0029583047) + (((x1839 * 0.011574524) + (((x1839 * x2453) - 0.124097236) * -0.0010777152)) + 0.12386952)"
