Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,6.311414e-5,"(x2009 * 0.012050299) + 0.054936647"
6,5.329393e-5,"sqrt(x2009 + 2.1138692) * 0.03874301"
7,4.3668057e-5,"((x2008 + x2009) * 0.006884692) + 0.05493565"
9,4.3603173e-5,"((x2009 * 0.0072357655) + (x2008 * 0.0065336213)) + 0.054935638"
10,3.373496e-5,"sqrt(0.04322202 * ((0.019414825 * (x2008 + x2009)) + 0.07387379))"
12,3.3490556e-5,"sqrt((((x2008 + (x2007 + -0.0004546858)) * 0.019414825) + 0.07387379) * 0.04322202)"
14,2.7798882e-5,"sqrt((((x2008 + ((x2941 * -0.27060747) + x2009)) * 0.01349278) + 0.051919762) * 0.06134178)"
16,2.6652064e-5,"sqrt((((((x2261 + x1571) * -0.16480729) + x2009) + x2008) * 0.030723382) + 0.12016121) * 0.16317225"
