Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,1.946135e-5,"(x2008 * 0.013742315) + 0.054935634"
6,1.2080802e-5,"log(x2008 + 3.3325906) * 0.04736629"
7,8.369735e-6,"(0.09394773 / (-2.5452 - x2006)) + 0.09707337"
10,5.878124e-6,"log(x2008 + 3.362436) * ((x1232 * -0.002386152) + 0.046974577)"
12,5.305264e-6,"((x1232 * -0.0017179743) + 0.038765203) * log((x2008 + 2.8133233) * 1.5588157)"
13,4.878197e-6,"(0.0872124 / ((-2.5557199 - x2006) / (1.0710303 - (x2550 * -0.045753706)))) + 0.096671395"
16,4.6517694e-6,"log(x2008 + 3.3395412) * ((-0.001641833 * (x2185 + (x2235 - (x953 + 1.2128007)))) + 0.045266178)"
