Complexity,Loss,Equation
1,0.007510922,"3.049488"
4,0.0019829043,"log(x792 + 21.093668)"
5,0.0007832282,"3.049491 - (x793 * -0.082028314)"
6,0.0007625326,"log((x282 + x2932) + 21.171907)"
8,0.0006998697,"log(x817 + (x1011 + 20.22404)) + 0.045979112"
10,2.0373329e-5,"log((x2001 - (x793 * -3.0987685)) + 36.212997) + -0.5355397"
14,1.2374006e-5,"-0.53637946 + log((x1005 - (x793 * -3.0379126)) + ((x405 - x2350) + 36.219547))"
18,8.509953e-6,"log((35.595722 + x1005) - (((x524 - x405) + x2363) + ((x793 * -2.9950833) - x405))) + -0.51898885"
