Complexity,Loss,Equation
1,0.00020831729,"0.054937735"
5,1.3687508e-5,"(x2002 * 0.013950978) + 0.054935645"
6,9.174822e-6,"log(x2002 + 3.369111) * 0.04695265"
8,9.106675e-6,"(-0.30184948 / sqrt(x2002 + 4.871615)) + 0.19385031"
9,2.8880906e-6,"((x2019 * -0.0008514398) + 0.014665141) * (x2002 + 3.753436)"
10,6.1045006e-7,"sqrt(x2002 + 2.070375) * ((x1025 * -0.0020905337) + 0.039357804)"
12,5.7489194e-7,"(((x1025 * -0.0021523142) + 0.037889846) * sqrt(x2002 + 1.9511455)) + 0.0038298415"
14,3.0599585e-7,"(x858 * 0.0017395042) + (((x27 * -0.0030104395) + 0.039654784) * sqrt(x2002 + 2.042188))"
16,2.4985803e-7,"((x862 + 0.31621027) * 0.001108461) + (sqrt(x2002 + 2.0243397) * ((x13 * -0.0026672985) + 0.03963519))"
