Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,1.3687508e-5,"(x2002 * 0.013950979) + 0.05493564"
6,9.194454e-6,"log(x2002 + 3.351968) * 0.047134217"
9,4.194798e-6,"(x1019 * -0.0030912852) + ((x2002 * 0.0142026385) + 0.05493564)"
11,2.6255684e-6,"(0.101531975 - (x1018 * 0.0058284625)) * ((x2002 * 0.14267302) + 0.5468096)"
12,6.222214e-7,"((x1026 * -0.005071181) + 0.09563407) * sqrt((x2002 * 0.16983573) + 0.3509106)"
16,3.4047025e-7,"sqrt((x2002 * 0.145192) + 0.29865488) * ((x2038 * -0.007895399) + ((x765 * 0.0028603857) + 0.10371987))"
18,3.3867326e-7,"((x2038 * -0.01069936) + (0.10369769 + ((x2043 + x765) * 0.002827942))) * sqrt((x2002 * 0.14506927) + 0.29875508)"
