Complexity,Loss,Equation
1,7.46675e-5,"0.12504326"
5,2.1871488e-6,"0.12504193 - (x1841 * -0.008513517)"
7,9.973887e-7,"((x1598 - x1876) * -0.00499866) + 0.12504192"
9,8.942206e-7,"0.16886906 / (((x1598 - x1876) * 0.054331493) + 1.3568717)"
11,1.9510634e-7,"((x1598 - x1876) * ((x385 * 0.0005184001) + -0.0051307003)) + 0.1246134"
13,1.951063e-7,"(((x385 * -0.07843534) + 0.7762183) * ((x1598 - x1876) * -0.006609915)) + 0.12461344"
15,1.9368255e-7,"((((x1598 - x1876) - 0.083490066) * ((x385 * -0.05880422) + 0.57855695)) * -0.008848262) + 0.124184586"
