Complexity,Loss,Equation
1,0.00021157101,"0.05481364"
5,1.2853778e-5,"(x2002 * 0.0139952) + 0.0549244"
6,8.6052905e-6,"log(x2002 + 3.362875) * 0.0470492"
9,4.2515444e-6,"(x2002 * 0.014194414) + (0.054971978 - (x1019 * 0.003004492))"
10,3.9764373e-6,"log(((x1019 + (x1005 * -3.3034177)) * -0.004625438) - -1.0565861)"
12,3.6529364e-6,"log(((((x1005 * -2.6477616) + x1019) - x2002) * -0.004180168) - -1.0566078)"
13,9.614771e-7,"(((x2002 - -4.283269) * x1003) * -0.0029453586) + (0.05782946 - (x2002 * -0.027137225))"
14,5.563798e-7,"(log(x2002 + 3.5029867) * (x1003 * -0.011040763)) + (0.058057062 - (x2002 * -0.027539771))"
18,4.006805e-7,"0.058014877 + (((x1003 * log((x2002 + 3.583704) - (x1392 * -0.090919256))) * -0.011214478) - (x2002 * -0.028016036))"
