Complexity,Loss,Equation
1,0.00020831729,"0.054935914"
5,1.3687508e-5,"(x2002 * 0.0139509775) - -0.05493564"
6,7.6157157e-6,"log(x2003 - -3.3027544) * 0.04775476"
8,6.426773e-6,"log((x2003 / 0.3119107) - -6.969026) * 0.029983755"
9,3.916878e-6,"(((x2020 * -0.34998664) + x1004) * 0.014158643) - -0.054935355"
10,1.7680967e-6,"((x2030 * -0.0020583975) + 0.04742155) * log(x2003 - -3.323726)"
12,7.959884e-7,"log((x2003 * 3.0047681) - -6.708653) * ((x1037 * -0.001298823) + 0.030477254)"
16,2.649997e-7,"(((x1026 - (x1168 * -0.4315626)) * -0.002041764) + 0.03125908) * log((x2003 * 2.8463595) - -6.4117746)"
18,2.6494305e-7,"(((x1026 - ((0.085739866 - x1168) * 0.42962235)) * -0.0020417604) + 0.031182162) * log((x2003 * 2.8463595) - -6.4117746)"
