Complexity,Loss,Equation
1,0.0002969064,"0.9701014"
5,6.8545734e-5,"(x152 + 0.97010094) - x134"
7,1.7286578e-5,"((x2049 - x777) * -0.034441657) + 0.9701005"
9,8.802941e-6,"(x11 * -0.0288934) + (0.97010034 - (x798 * -0.024098264))"
11,7.0353376e-6,"((x11 - x806) * -0.026156781) + ((x2105 * -0.004585868) - -0.9701004)"
13,6.9372986e-6,"(0.97154975 - ((-0.3159621 - x2138) * -0.004588358)) + ((x11 - x806) * -0.02648364)"
15,3.904661e-6,"((0.9701004 - (x2535 * 0.005546759)) + ((x11 - x677) * -0.029893454)) - (x2001 * -0.0019851)"
