Complexity,Loss,Equation
1,0.007510922,"3.0494866"
4,0.0024754752,"log(x794 + 21.13527)"
5,0.0016047132,"(x794 * 0.07685187) + 3.0494869"
6,0.0011965485,"log(x911 + (21.157486 + x2924))"
8,0.0011721854,"sqrt(9.305676 + ((x868 + x2935) * 0.28651172))"
9,0.0010720051,"(((x2973 + x2834) + x1907) * 0.029252483) + 3.0494869"
10,0.0010382946,"sqrt(((x2935 + (x848 + x827)) * 0.18310583) + 9.30583)"
11,0.00062285474,"(((x2834 + x2007) + (x1907 + x2979)) * 0.030631566) + 3.049488"
13,0.0005626235,"(((x2834 + (x2007 * 0.74664277)) + (x1907 + x2979)) * 0.030631566) + 3.049488"
14,0.0005177147,"((log(x2007 + 1.4290783) + (x2973 + (x1907 + x2834))) * 0.030906593) + 3.0461583"
16,0.0005101414,"(((((x2973 + x1907) + x2834) / 1.2597265) + log(x2007 + 1.6076792)) * 0.03890046) + 3.0383072"
