Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.00018796854,"(x5 * -0.0105019) - -0.9701983"
7,0.000114426315,"(-0.0105019 * (x5 - x2994)) - -0.9701983"
8,1.4079336e-5,"sqrt(((x2049 - x769) * -0.06879247) - -0.9415745)"
9,1.3194019e-5,"sqrt(sqrt(((x2057 - x769) * -0.13526027) - -0.88763773))"
10,3.6400597e-6,"(x2034 * -0.03389451) + sqrt((x767 * 0.058545016) - -0.9421984)"
18,3.4710392e-6,"sqrt(((((x2034 - ((x1906 * -0.034751374) - (x2958 * 0.07645516))) - x769) - -0.38680005) * -0.065877974) - -0.9670655)"
