Complexity,Loss,Equation
1,7.645234e-5,"0.12460153"
5,2.0942061e-6,"(x1841 * 0.008507838) + 0.124857605"
7,1.73387e-6,"((x2884 + x1478) * 0.0065148273) + 0.12496904"
9,9.063343e-7,"0.124840334 - ((x1858 - (x1572 * 0.24099323)) * -0.009401237)"
11,9.0633387e-7,"(0.19819626 - ((x1858 * -0.014925291) - (x1572 * -0.0035969324))) / 1.5875983"
13,9.3769856e-8,"0.12436476 - ((-0.009639879 - (x337 * -0.0009859572)) * (x1858 - (x1572 * 0.24634142)))"
15,6.4860984e-8,"(0.14793152 - ((x1858 - (x1572 * 0.23571831)) * ((x891 * 0.0012404642) + -0.011451208))) / 1.1904594"
