Complexity,Loss,Equation
1,7.516561e-5,"0.124809854"
5,2.1687167e-6,"0.12480978 - (x1843 * -0.00854384)"
7,2.1687165e-6,"(0.206052 - (x1843 * -0.014105175)) / 1.6509287"
8,2.0653542e-6,"sqrt((x732 + x1750) + 3.679628) * 0.065217346"
9,1.1973441e-6,"0.12480978 - ((x1623 + (x429 - x731)) * 0.0061963815)"
12,1.0201908e-6,"sqrt((x1611 * -3.5170915) + ((x1611 + 13.083673) + x1340)) * 0.034587156"
14,1.0201413e-6,"sqrt(x1611 + (((x1611 * -4.5187693) + 13.096015) + (x1611 + x1340))) * 0.034570776"
15,7.899876e-7,"0.12480973 - (((x764 - (x418 * 0.39834663)) * -0.008469549) - ((x1784 * 0.0067794514) / 0.7913027))"
17,7.897627e-7,"(0.09933111 - (((x764 - (0.007235675 - (x418 * -0.3912951))) * -0.0066977623) - (x1784 * 0.0068442654))) / 0.79547125"
