Complexity,Loss,Equation
1,0.0076106703,"3.0493402"
4,0.0019941388,"log(x788 + 21.093372)"
5,0.0007929991,"(x791 * 0.0816108) + 3.0495806"
6,0.0005973064,"log((x814 + x1013) + 21.171623)"
8,0.00042002526,"log(((x795 + x804) + x2008) + 21.234049)"
9,4.764844e-5,"(x2002 * 0.028121535) + (3.0498044 + (x799 * 0.08686413))"
13,3.4189783e-5,"(x334 * 0.019101338) + (((x768 * 0.07198522) + 3.0495982) + (x2002 * 0.02777933))"
15,3.0871463e-5,"((((x1326 + x2002) * 0.027964614) + 3.0496025) + (x768 * 0.075792804)) - (x108 * 0.012173986)"
