Complexity,Loss,Equation
1,0.007352537,"3.049396"
4,0.001969773,"log(x792 + 21.085983)"
5,0.0008071368,"3.0488834 - (x792 * -0.08191376)"
6,0.00079944474,"log((x792 * 1.7339475) + 21.16146)"
8,0.00079878024,"log((x792 * 0.7361544) + 11.312007) / 0.7950024"
9,3.7768812e-5,"(3.0495434 - (x793 * -0.08342615)) - (x1003 * -0.027270677)"
13,2.9056879e-5,"((x1003 * 0.027211316) - ((x730 * -0.084090054) + -3.0494978)) + (x1968 * 0.021157587)"
15,2.5312942e-5,"((((x1945 + x1003) * 0.027832817) + (x119 * -0.012156589)) + (x730 * 0.08749024)) - -3.0495996"
17,2.1183014e-5,"(((-0.006111185 * x17) - ((x727 * -0.084642395) + -3.049582)) + (x1003 * 0.02835482)) + (x1952 * 0.022704741)"
