parameter,seed_R2_mean,seed_R2_std,seed_MAE_mean,seed_MAE_std,cv_R2_mean,cv_R2_std,cv_MAE_mean,cv_MAE_std
n_s,0.9928221223323149,0.0040523952199508105,0.00111945840749304,0.00031588670287632467,0.9869008394354234,0.008269365219103557,0.00149449684220994,0.0004831382545102533
log_As,0.9973531207552349,0.0013026156206844119,0.0033893734796298395,0.0008470027097360805,0.9975285410298727,0.0014636700563988836,0.0033019237622073996,0.0011756359338129588
omega_cdm,0.9980148795998198,0.0008201084044922659,0.00029643880338001,7.45154419333089e-05,0.9972939451008284,0.0017575827911737287,0.00035803713247072,0.000110098731275196
tau,0.9961724628235318,0.002769792342171894,0.00067048120509263,0.00024799350187688435,0.9931454015448204,0.006537655116323063,0.0008208311558481399,0.00042383032931781216
