parameter,spearman_uncertainty_error,p_value,mean_abs_error,mean_pred_std
n_s,0.5684604278776741,1.2975512892179048e-35,0.001053958538873184,0.0011620739971632793
log_As,0.29371158569741057,2.1186964949008747e-09,0.0026648383833833313,0.0032289651057704123
omega_cdm,0.1768936680854255,0.0003781590775091072,0.00018108657933618285,0.0003721277318500098
tau,0.14307951924699527,0.0041385708506904316,0.00041576785528958296,0.0007290666230157705
