parameter,N_bootstrap,R2_mean_prediction,MAE_mean_prediction,mean_pred_std,coverage_1sigma,coverage_2sigma
n_s,20,0.9941612750453405,0.001053958538873184,0.0011620739971632793,0.6075,0.9825
log_As,20,0.9984402764561702,0.0026648383833833313,0.0032289651057704123,0.65,0.9375
omega_cdm,20,0.9992841016994107,0.00018108657933618285,0.0003721277318500098,0.88,1.0
tau,20,0.9987039223155515,0.00041576785528958296,0.0007290666230157705,0.815,0.9975
