Complexity,Loss,Equation
1,7.516561e-5,"0.124809764"
5,2.157881e-6,"(x1842 * 0.008544373) + 0.12480978"
7,2.1578808e-6,"((x1842 * -0.019669846) + -0.28731874) / -2.3020542"
8,1.9030733e-6,"log((x1842 * -0.025306344) + 0.3955969) / -7.4442444"
9,1.1556291e-6,"(x1848 * 0.008892491) + ((x1424 * 0.0012234529) + 0.12480978)"
13,7.2765573e-7,"(x1848 * 0.008139247) + (((x1582 - (x1287 * 0.83627355)) * -0.0043440405) + 0.12480935)"
18,6.7935883e-7,"(x1848 * 0.009204309) + (((x1279 - (sqrt((x1287 - x2195) + 0.95052606) * x1287)) * -0.01626526) + 0.124731526)"
